country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-11-2025 19:00:00",17.72,83.3,CO,4,36,20
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","24-11-2025 19:00:00",27.103358,93.679645,SO2,8,9,8
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","24-11-2025 19:00:00",27.103358,93.679645,OZONE,5,5,5
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","24-11-2025 19:00:00",26.071318,91.87488,NH3,4,4,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","24-11-2025 19:00:00",26.071318,91.87488,SO2,4,12,7
India,Assam,Guwahati,"IITG, Guwahati - PCBA","24-11-2025 19:00:00",26.2028636,91.70046436,NO2,1,6,2
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","24-11-2025 19:00:00",26.10887,91.589544,PM2.5,53,77,65
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","24-11-2025 19:00:00",26.10887,91.589544,PM10,61,88,74
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","24-11-2025 19:00:00",26.10887,91.589544,NO2,10,22,15
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","24-11-2025 19:00:00",26.187500,91.744194,PM2.5,26,59,40
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","24-11-2025 19:00:00",16.536107,80.594233,PM10,64,105,87
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","24-11-2025 19:00:00",16.536107,80.594233,OZONE,25,48,37
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-11-2025 19:00:00",16.509717,80.612222,NH3,4,4,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-11-2025 19:00:00",16.509717,80.612222,SO2,10,15,13
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","24-11-2025 19:00:00",16.509717,80.612222,OZONE,12,33,28
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","24-11-2025 19:00:00",16.554731,80.649110,NO2,8,10,10
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-11-2025 19:00:00",17.72,83.3,PM2.5,96,187,139
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","24-11-2025 19:00:00",17.72,83.3,PM10,101,130,113
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","24-11-2025 19:00:00",24.762518,84.982348,CO,25,46,30
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","24-11-2025 19:00:00",25.697189,85.245900,OZONE,9,139,88
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","24-11-2025 19:00:00",25.560083,87.553265,NO2,12,19,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","24-11-2025 19:00:00",25.560083,87.553265,OZONE,4,10,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","24-11-2025 19:00:00",26.0881305,87.93840336,PM2.5,40,52,45
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","24-11-2025 19:00:00",26.0881305,87.93840336,NO2,9,13,11
